x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-8.63800E-03,+6.12500000E+00,-575.00000E-03,-312.50000E-03,-68.75002E-03
-8.58800E-03,+800.00000E-03,-812.50000E-03,-387.50000E-03,-53.75002E-03
-8.53800E-03,+6.87500000E+00,-662.50000E-03,-550.00000E-03,-13.75002E-03
-8.48800E-03,+8.06250000E+00,-262.50000E-03,-312.50000E-03,-37.50002E-03
-8.43800E-03,+6.26250000E+00,-500.00000E-03,-387.50000E-03,-45.00002E-03
-8.38800E-03,+2.36250000E+00,-500.00000E-03,-625.00000E-03,-53.75002E-03
-8.33800E-03,+7.91250000E+00,-500.00000E-03,-550.00000E-03,-13.75002E-03
-8.28800E-03,+5.41250000E+00,-575.00000E-03,-387.50000E-03,-45.00002E-03
-8.23800E-03,+275.00000E-03,-737.50000E-03,-550.00000E-03,-61.25002E-03
-8.18800E-03,+4.98750000E+00,-425.00000E-03,-312.50000E-03,-45.00002E-03
-8.13800E-03,+7.05000000E+00,-337.50000E-03,-387.50000E-03,-68.75002E-03
-8.08800E-03,+6.28750000E+00,-812.50000E-03,-550.00000E-03,-61.25002E-03
-8.03800E-03,+5.15000000E+00,-737.50000E-03,-312.50000E-03,-37.50002E-03
-7.98800E-03,+6.73750000E+00,-500.00000E-03,-387.50000E-03,-37.50002E-03
-7.93800E-03,+4.70000000E+00,-575.00000E-03,-625.00000E-03,-75.00002E-03
-7.88800E-03,+575.00000E-03,-737.50000E-03,-550.00000E-03,-163.75002E-03
-7.83800E-03,+5.63750000E+00,-500.00000E-03,-387.50000E-03,-61.25002E-03
-7.78800E-03,+4.22500000E+00,-500.00000E-03,-550.00000E-03,-45.00002E-03
-7.73800E-03,+200.00000E-03,-500.00000E-03,-312.50000E-03,-61.25002E-03
-7.68800E-03,+4.30000000E+00,-575.00000E-03,-237.50000E-03,-45.00002E-03
-7.63800E-03,+5.25000000E+00,-737.50000E-03,-150.00000E-03,-61.25002E-03
-7.58800E-03,+3.75000000E+00,-425.00000E-03,-550.00000E-03,-112.50002E-03
-7.53800E-03,+275.00000E-03,-262.50000E-03,-312.50000E-03,-275.00002E-03
